13024 Graham Chapman   UNITED KINGDOM
13032 Giosuè Carducci   ITALY
13043 Giuseppe Peano   ITALY
13049 George Eliot   UNITED KINGDOM
13062 Georg Philipp Telemann   GERMANY
39027 Mike Tyson   UNITED STATES
13076 Gordon Brown   UNITED KINGDOM
13118 Grazia Deledda   ITALY
13120 Glenn T. Seaborg   UNITED STATES
13126 Gaspard-Gustave Coriolis   FRANCE
13131 Géza, Grand Prince of the Hungarians   Unknown
13145 Gerolamo Cardano   ITALY
13148 Gene Roddenberry   UNITED STATES
13151 Gilgamesh   Iraq
13171 Gro Harlem Brundtland   NORWAY
13172 Gregory of Nazianzus   TURKEY
13219 Howard Hawks   UNITED STATES
13371 Henry Ford   United States
13433 Henryk Sienkiewicz   Poland
13436 Heinrich Himmler   GERMANY
13445 Heinrich Rudolf Hertz   Germany
13447 Horace Walpole, 4th Earl of Orford   United Kingdom
13459 H. G. Wells   UNITED KINGDOM
13486 Hippocrates   Greece
13487 Hermann Göring   GERMANY
13509 H. P. Lovecraft   UNITED STATES
13531 Henri Bergson   FRANCE
13546 Henry Fielding   UNITED KINGDOM
13550 Hans Christian Andersen   DENMARK
13574 Herodotus   TURKEY
13578 Hermann Hesse   Germany
13600 Hipparchus   Turkey
13602 Huldrych Zwingli   Switzerland
13616 Howard Carter   UNITED KINGDOM
13621 Hadrian   Spain
763024 Alyssa Milano   UNITED STATES
13628 Heinrich Schliemann   Germany
13633 Homer   TURKEY
13647 Hermann Ebbinghaus   Germany
13669 Hans-Dietrich Genscher   Germany
13682 Herbert Hoover   UNITED STATES
13684 Hildegard of Bingen   Germany
13693 Horace   Italy
13700 Hesiod   Greece
13717 Halle Berry   UNITED STATES
13722 Robert Koch   Germany
13765 Henry Kissinger   Germany
13784 Herbert Marcuse   Germany
13792 Heraclitus   TURKEY
13793 Harrison Schmitt   UNITED STATES
13896 Halldór Laxness   ICELAND
13956 Heraclius   Turkey
13957 Henry I of Germany   GERMANY
13959 Hannibal Barca   Tunisia
1784460 Lhasa de Sela   United States
13976 Hannibal Hamlin   France
13988 Hans-Georg Gadamer   GERMANY
14005 Hezekiah   Israel
14013 Hernán Cortés   SPAIN
938523 Laura Branigan   UNITED STATES
14055 Humayun   AFGHANISTAN
14059 Howard Hughes   UNITED STATES
14067 Hendrick Avercamp   NETHERLANDS
14068 Hans Baldung   Germany
14092 Henry the Navigator   Portugal
14135 Henry Purcell   UNITED KINGDOM
14179 Henry I of England   United Kingdom
14186 Henry VII of England   United Kingdom
14187 Henry VIII of England   United Kingdom
14205 Herbert Simon   UNITED STATES
14227 Elagabalus   ITALY
14236 Henrik Ibsen   NORWAY
14254 Helen Keller   UNITED STATES
8629 Donald Rumsfeld   UNITED STATES
14280 Hafizullah Amin   AFGHANISTAN
14317 Hergé   BELGIUM
14321 Hank Aaron   UNITED STATES
14328 Hunter S. Thompson   UNITED STATES
14358 Hammurabi   Iraq
14369 Humphry Davy   UNITED KINGDOM
14408 Huneric   Unknown
14446 Harold Alexander, 1st Earl Alexander of Tunis   UNITED KINGDOM
14454 Henry Moseley   UNITED KINGDOM
14457 Prince Harry of Wales   UNITED KINGDOM
14467 Harold Kroto   UNITED KINGDOM
14573 Isaac Asimov   Russia
14618 İsmet İnönü   TURKEY
14626 Ingmar Bergman   SWEDEN
14627 Isaac Newton   UNITED KINGDOM
14631 Immanuel Kant   Russia
14709 Ice T   UNITED STATES
14858 Iain Banks   UNITED KINGDOM
14937 Italo Calvino   CUBA
14980 Imhotep   Egypt
14981 Iktinos   Unknown
15088 Isaiah   Israel
15155 I. M. Pei   China
15179 Indira Gandhi   India
15192 Isaac   Israel
15208 Isaac Albéniz   SPAIN
15225 Ivar Aasen   NORWAY
15229 Ibn Battuta   MOROCCO
15308 Ian McKellen   UNITED KINGDOM
